이슈키,이슈유형,부모이슈,상태,고객사,제목,이슈본문,댓글작성자,댓글내용,생성일,완료일,담당자
AS-1,에픽,없음,완료,미분류,사내 AX 자동화 - 1주차,,N/A,댓글 없음,2026-03-16T19:25:17.320+0900,2026-03-16,윤종웅
AS-2,에픽,없음,해야 할 일,미분류,사내 AX 자동화 - 2주차,,N/A,댓글 없음,2026-03-16T19:25:53.699+0900,,윤종웅
AS-3,에픽,없음,해야 할 일,미분류,사내 AX 자동화 - 3주차,,N/A,댓글 없음,2026-03-16T19:26:30.130+0900,,윤종웅
AS-4,스토리,AS-1,완료,미분류,임직원 업무리스트 취합,업무 사항 : 임직원 업무리스트 작성 및 취합.,N/A,댓글 없음,2026-03-16T19:27:27.826+0900,2026-03-16,윤종웅
AS-5,스토리,AS-1,완료,미분류,업무리스트 분류 정리,업무 사항 : 임직원 업무리스트 작성 및 취합.,N/A,댓글 없음,2026-03-16T19:27:41.775+0900,2026-03-16,윤종웅
AS-6,스토리,AS-2,진행 중,미분류,팀리더 업무리스트 취합,,N/A,댓글 없음,2026-03-16T19:28:19.769+0900,,윤종웅
AS-7,스토리,AS-2,진행 중,미분류,개발팀,개발팀_전체업무목록_최종통합본.xlsx,윤종웅,개발팀 업무 리스트 - 업로드 완료,2026-03-16T19:28:37.003+0900,,윤종웅
AS-8,스토리,AS-2,해야 할 일,미분류,경영전략실,,N/A,댓글 없음,2026-03-16T19:28:46.573+0900,,윤종웅
AS-9,스토리,AS-2,진행 중,미분류,세일즈팀,1차 리뷰 미팅 : https://humuson.atlassian.net/browse/AX-54?atlOrigin=eyJpIjoiY2RlZDkxMjk0NGMwNGI1ZjljOGRlNDMyMjRiYW…한윤영 프로 업무 프로세스김민재 프로 업무 프로세스,윤종웅,"260316 미팅 회의록세일즈 공통전화, 고객사 미팅 문서화(회의록, 문의사항 등을 문서화)김민재자동화 가능 항목:인바운드 고객사 조사 : 각 고객사의 개인정보처리방침에서 채널에 대한 사용 서비스를 확인 후 컨택을 진행. (예상되는 문제점 : 담당자 메일이나 연락처가 필요함)고객별 관련 히스토리 제공 : 고객사 파악 및 과거 이력을 직접 찾아서 제공해야하는 불편함을 간단하게 해결해야함.고객사 및 경쟁사 현황 분석 / 기타 트렌드 분석 : 이미 김민재 프로가 자동화하여 뉴스레터를 메일로 받아서 보고 있음자동화 불가능 항목:RFP에 대한 제안서 작성 : 경쟁사 상세 조사, 사내 제품 현황, 고객 요청사항 뿐 아니라, 사내 인력, 추가개발 가능여부 등 복합적으로 판단할 수 있어야함고객 콜드콜, 미팅 일정 조율 및 스케줄링 : 스팸 차단 가능성 높음. 일정은 상호 커뮤니케이션이 중요하여 직접하는 것이 더 효율적이고 안정적한윤영자동화 가능 항목:갱신 계약 3개월 남은 고객사 리마인드 연락단, 5~6개월 전 사전에 연락오는 고객사들이 있음. 해당 고객사들은 제외해야함.세금계산서 발행 중 정발행 고객사 케이스사내 Billing System에서 데이터 확인 후 위하고 데이터 형태로 변경(엑셀 시트) → 위하고에 업로드하여 한 번에 세금계산서 발행웹을 직접 열어 위하고에 접속하는 것은 가능할 것으로 예상되나, 파일 업로드가 가능할지 의문",2026-03-16T19:28:51.064+0900,,윤종웅
AS-10,스토리,AS-2,해야 할 일,미분류,제품팀,,N/A,댓글 없음,2026-03-16T19:29:03.133+0900,,윤종웅
